"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk",474460,55.89,8489.175165503668," 13 kwietnia 2025","⏳Dni otwarte⏳Hala+komórka lokatorska⏳Dod Rabat!","https://www.otodom.pl/pl/oferta/dni-otwartehala-komorka-lokatorskadod-rabat-ID4wTa9.html"
"Gdańsk",628400,74.0,8491.891891891892," Odświeżono dnia 29 kwietnia 2025","4pok GOTOWE do odbioru 12min od Starówki +Parking","https://www.otodom.pl/pl/oferta/4pok-gotowe-do-odbioru-12min-od-starowki-parking-ID4wRk3.html"
"Gdańsk",474900,55.86,8501.611170784103," Odświeżono Dzisiaj o 12:17","✔️Słoneczne 3pokoje+ hala Garażowa✔️13 min Centrum","https://www.otodom.pl/pl/oferta/sloneczne-3pokoje-hala-garazowa13-min-centrum-ID4wY3u.html"
"Gdańsk",475000,55.75,8520.17937219731," 11 kwietnia 2025","‼️3 pokoje + Hala garażowa ‼️ Najniższe ceny","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-najnizsze-ceny-ID4wWi4.html"
"Gdańsk",475980,55.84,8523.997134670486," 17 kwietnia 2025","✨Nowe 3 pokoje + Garaż_ 13 min od Centrum","https://www.otodom.pl/pl/oferta/nowe-3-pokoje-garaz-13-min-od-centrum-ID4wXDH.html"
"Gdańsk",475100,55.6,8544.964028776978," Odświeżono Dzisiaj o 09:18","⭐3 pokoje + Hala Garażowa⭐ Dni Otwarte","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-dni-otwarte-ID4v3K2.html"
"Gdańsk, Śródmieście",479000,56.0,8553.57142857143," Odświeżono dnia 10 kwietnia 2025","Możliwe 4 pokoje / Odrestaurowana kamienica","https://www.otodom.pl/pl/oferta/mozliwe-4-pokoje-odrestaurowana-kamienica-ID4wclF.html"
"Gdańsk",474890,55.17,8607.757839405474," 24 kwietnia 2025","⭐3 pokoje + Hala Garażowa + Kom .lok⭐ Dni Otwarte","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-kom-lok-dni-otwarte-ID4v6nV.html"
"Gdańsk, Wrzeszcz",849000,96.0,8843.75," 26 kwietnia 2025","pod inwestycje | gdańsk - wrzeszcz | parter","https://www.otodom.pl/pl/oferta/pod-inwestycje-gdansk-wrzeszcz-parter-ID4siMc.html"
"Gdańsk, Brętowo",629000,71.0,8859.154929577464," 08 kwietnia 2025","W pobliżu PKM! Kominek! Osobna kuchnia!","https://www.otodom.pl/pl/oferta/w-poblizu-pkm-kominek-osobna-kuchnia-ID4wQE4.html"
